Estado,Capital,Lat,Long
Aguascalientes,Aguascalientes,21.885401,-102.293362
Baja California,Tijuana,32.513198,-117.039518
Baja California Sur,La Paz,24.142114,-110.312343
Campeche,Campeche,19.829922,-90.53469
Chiapas,Tuxtla Gutiérrez,16.748287,-93.104853
Chihuahua,Chihuahua,28.63109,-106.070808
Ciudad De México,Ciudad de México,19.432399,-99.133367
Coahuila,Saltillo,25.438744,-100.976016
Colima,Colima,19.245981,-103.728252
Durango,Durango,24.027386,-104.654251
México,Toluca,19.281037,-99.65411
Guerrero,Chilpancingo,17.551144,-99.499991
Hidalgo,Pachuca,20.097957,-98.765857
Jalisco,Guadalajara,20.660286,-103.351209
Michoacán,Morelia,19.705753,-101.19531
Morelos,Cuautla,18.812444,-98.959354
Nayarit,Tepic,21.504017,-104.894758
Nuevo León,Monterrey,25.68621,-100.31667
Oaxaca,Oaxaca,17.072762,-96.727321
Puebla,Puebla,19.041008,-98.208761
Querétaro,Querétaro,20.589646,-100.392718
Quintana Roo,Chetumal,18.499367,-88.297398
San Luis Potosí,San Luis Potosí,22.155002,-100.986285
Sinaloa,Culiacán,24.808641,-107.395851
Sonora,Hermosillo,29.072535,-110.958777
Tabasco,Villahermosa,17.988608,-92.947285
Tamaulipas,Ciudad Victoria,23.737141,-99.140733
Tlaxcala,Tlaxcala,21.885401,-102.293362
Veracruz,Veracruz,19.173575,-96.134431
Yucatán,Mérida,20.969335,-89.622681
Zacatecas,Zacatecas,22.770609,-102.58364
Queretaro,Queretaro,20.589646,-100.392718
Estado De México,Toluca,19.281037,-99.65411
Guanajuato,Guanajuato,21.018858,-101.25788
